LABEL,CODE,DESC
DIAGNOSIS_01195,01195,"Pulmonary tuberculosis\, unspecified\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01196,01196,"Pulmonary tuberculosis\, unspecified\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01200,01200,"Tuberculous pleurisy\, unspecified"
DIAGNOSIS_01201,01201,"Tuberculous pleurisy\, bacteriological or histological examination not done"
DIAGNOSIS_01202,01202,"Tuberculous pleurisy\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01203,01203,"Tuberculous pleurisy\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01204,01204,"Tuberculous pleurisy\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01205,01205,"Tuberculous pleurisy\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01206,01206,"Tuberculous pleurisy\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01210,01210,"Tuberculosis of intrathoracic lymph nodes\, unspecified"
DIAGNOSIS_01211,01211,"Tuberculosis of intrathoracic lymph nodes\, bacteriological or histological examination not done"
DIAGNOSIS_01212,01212,"Tuberculosis of intrathoracic lymph nodes\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01213,01213,"Tuberculosis of intrathoracic lymph nodes\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01214,01214,"Tuberculosis of intrathoracic lymph nodes\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01215,01215,"Tuberculosis of intrathoracic lymph nodes\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01216,01216,"Tuberculosis of intrathoracic lymph nodes\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01220,01220,"Isolated tracheal or bronchial tuberculosis\, unspecified"
DIAGNOSIS_01221,01221,"Isolated tracheal or bronchial tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01222,01222,"Isolated tracheal or bronchial tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01223,01223,"Isolated tracheal or bronchial tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01224,01224,"Isolated tracheal or bronchial tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01225,01225,"Isolated tracheal or bronchial tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01226,01226,"Isolated tracheal or bronchial tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01230,01230,"Tuberculous laryngitis\, unspecified"
DIAGNOSIS_01231,01231,"Tuberculous laryngitis\, bacteriological or histological examination not done"
DIAGNOSIS_01232,01232,"Tuberculous laryngitis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01233,01233,"Tuberculous laryngitis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01234,01234,"Tuberculous laryngitis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01235,01235,"Tuberculous laryngitis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01792,01792,"Tuberculosis of other specified organs\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01236,01236,"Tuberculous laryngitis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01280,01280,"Other specified respiratory tuberculosis\, unspecified"
DIAGNOSIS_01281,01281,"Other specified respiratory tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01282,01282,"Other specified respiratory tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01283,01283,"Other specified respiratory tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01284,01284,"Other specified respiratory tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01285,01285,"Other specified respiratory tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01286,01286,"Other specified respiratory tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01300,01300,"Tuberculous meningitis\, unspecified"
DIAGNOSIS_01301,01301,"Tuberculous meningitis\, bacteriological or histological examination not done"
DIAGNOSIS_0010,0010,"Cholera due to vibrio cholerae"
DIAGNOSIS_0011,0011,"Cholera due to vibrio cholerae el tor"
DIAGNOSIS_0019,0019,"Cholera\, unspecified"
DIAGNOSIS_0020,0020,"Typhoid fever"
DIAGNOSIS_0021,0021,"Paratyphoid fever A"
DIAGNOSIS_0022,0022,"Paratyphoid fever B"
DIAGNOSIS_0023,0023,"Paratyphoid fever C"
DIAGNOSIS_0029,0029,"Paratyphoid fever\, unspecified"
DIAGNOSIS_0030,0030,"Salmonella gastroenteritis"
DIAGNOSIS_0031,0031,"Salmonella septicemia"
DIAGNOSIS_00320,00320,"Localized salmonella infection\, unspecified"
DIAGNOSIS_00321,00321,"Salmonella meningitis"
DIAGNOSIS_00322,00322,"Salmonella pneumonia"
DIAGNOSIS_00323,00323,"Salmonella arthritis"
DIAGNOSIS_00324,00324,"Salmonella osteomyelitis"
DIAGNOSIS_00329,00329,"Other localized salmonella infections"
DIAGNOSIS_0038,0038,"Other specified salmonella infections"
DIAGNOSIS_0039,0039,"Salmonella infection\, unspecified"
DIAGNOSIS_0040,0040,"Shigella dysenteriae"
DIAGNOSIS_0041,0041,"Shigella flexneri"
DIAGNOSIS_0042,0042,"Shigella boydii"
DIAGNOSIS_0043,0043,"Shigella sonnei"
DIAGNOSIS_0048,0048,"Other specified shigella infections"
DIAGNOSIS_0049,0049,"Shigellosis\, unspecified"
DIAGNOSIS_0050,0050,"Staphylococcal food poisoning"
DIAGNOSIS_0051,0051,"Botulism food poisoning"
DIAGNOSIS_0052,0052,"Food poisoning due to Clostridium perfringens (C. welchii)"
DIAGNOSIS_0053,0053,"Food poisoning due to other Clostridia"
DIAGNOSIS_0054,0054,"Food poisoning due to Vibrio parahaemolyticus"
DIAGNOSIS_00581,00581,"Food poisoning due to Vibrio vulnificus"
DIAGNOSIS_00589,00589,"Other bacterial food poisoning"
DIAGNOSIS_0059,0059,"Food poisoning\, unspecified"
DIAGNOSIS_0060,0060,"Acute amebic dysentery without mention of abscess"
DIAGNOSIS_0061,0061,"Chronic intestinal amebiasis without mention of abscess"
DIAGNOSIS_0062,0062,"Amebic nondysenteric colitis"
DIAGNOSIS_01676,01676,"Tuberculosis of other female genital organs\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01690,01690,"Genitourinary tuberculosis\, unspecified\, unspecified"
DIAGNOSIS_01691,01691,"Genitourinary tuberculosis\, unspecified\, bacteriological or histological examination not done"
DIAGNOSIS_01692,01692,"Genitourinary tuberculosis\, unspecified\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01693,01693,"Genitourinary tuberculosis\, unspecified\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01694,01694,"Genitourinary tuberculosis\, unspecified\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01695,01695,"Genitourinary tuberculosis\, unspecified\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01696,01696,"Genitourinary tuberculosis\, unspecified\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01700,01700,"Tuberculosis of skin and subcutaneous cellular tissue\, unspecified"
DIAGNOSIS_01701,01701,"Tuberculosis of skin and subcutaneous cellular tissue\, bacteriological or histological examination not done"
DIAGNOSIS_01702,01702,"Tuberculosis of skin and subcutaneous cellular tissue\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01703,01703,"Tuberculosis of skin and subcutaneous cellular tissue\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01704,01704,"Tuberculosis of skin and subcutaneous cellular tissue\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01705,01705,"Tuberculosis of skin and subcutaneous cellular tissue\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01706,01706,"Tuberculosis of skin and subcutaneous cellular tissue\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01710,01710,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, unspecified"
DIAGNOSIS_01711,01711,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01712,01712,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01713,01713,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01714,01714,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01715,01715,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01716,01716,"Erythema nodosum with hypersensitivity reaction in tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01720,01720,"Tuberculosis of peripheral lymph nodes\, unspecified"
DIAGNOSIS_01721,01721,"Tuberculosis of peripheral lymph nodes\, bacteriological or histological examination not done"
DIAGNOSIS_01722,01722,"Tuberculosis of peripheral lymph nodes\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01723,01723,"Tuberculosis of peripheral lymph nodes\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01724,01724,"Tuberculosis of peripheral lymph nodes\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01725,01725,"Tuberculosis of peripheral lymph nodes\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01726,01726,"Tuberculosis of peripheral lymph nodes\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01730,01730,"Tuberculosis of eye\, unspecified"
DIAGNOSIS_01731,01731,"Tuberculosis of eye\, bacteriological or histological examination not done"
DIAGNOSIS_01732,01732,"Tuberculosis of eye\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01733,01733,"Tuberculosis of eye\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01734,01734,"Tuberculosis of eye\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01735,01735,"Tuberculosis of eye\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01736,01736,"Tuberculosis of eye\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01740,01740,"Tuberculosis of ear\, unspecified"
DIAGNOSIS_01741,01741,"Tuberculosis of ear\, bacteriological or histological examination not done"
DIAGNOSIS_01742,01742,"Tuberculosis of ear\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01743,01743,"Tuberculosis of ear\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01744,01744,"Tuberculosis of ear\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01745,01745,"Tuberculosis of ear\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01746,01746,"Tuberculosis of ear\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01750,01750,"Tuberculosis of thyroid gland\, unspecified"
DIAGNOSIS_01751,01751,"Tuberculosis of thyroid gland\, bacteriological or histological examination not done"
DIAGNOSIS_01752,01752,"Tuberculosis of thyroid gland\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01753,01753,"Tuberculosis of thyroid gland\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01754,01754,"Tuberculosis of thyroid gland\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01755,01755,"Tuberculosis of thyroid gland\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01756,01756,"Tuberculosis of thyroid gland\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01760,01760,"Tuberculosis of adrenal glands\, unspecified"
DIAGNOSIS_01761,01761,"Tuberculosis of adrenal glands\, bacteriological or histological examination not done"
DIAGNOSIS_01762,01762,"Tuberculosis of adrenal glands\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01763,01763,"Tuberculosis of adrenal glands\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01764,01764,"Tuberculosis of adrenal glands\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01765,01765,"Tuberculosis of adrenal glands\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01766,01766,"Tuberculosis of adrenal glands\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01770,01770,"Tuberculosis of spleen\, unspecified"
DIAGNOSIS_01771,01771,"Tuberculosis of spleen\, bacteriological or histological examination not done"
DIAGNOSIS_01772,01772,"Tuberculosis of spleen\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01773,01773,"Tuberculosis of spleen\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01774,01774,"Tuberculosis of spleen\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01775,01775,"Tuberculosis of spleen\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01776,01776,"Tuberculosis of spleen\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01780,01780,"Tuberculosis of esophagus\, unspecified"
DIAGNOSIS_01781,01781,"Tuberculosis of esophagus\, bacteriological or histological examination not done"
DIAGNOSIS_01782,01782,"Tuberculosis of esophagus\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01783,01783,"Tuberculosis of esophagus\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01784,01784,"Tuberculosis of esophagus\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01785,01785,"Tuberculosis of esophagus\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01786,01786,"Tuberculosis of esophagus\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01790,01790,"Tuberculosis of other specified organs\, unspecified"
DIAGNOSIS_01791,01791,"Tuberculosis of other specified organs\, bacteriological or histological examination not done"
DIAGNOSIS_0063,0063,"Amebic liver abscess"
DIAGNOSIS_0064,0064,"Amebic lung abscess"
DIAGNOSIS_0065,0065,"Amebic brain abscess"
DIAGNOSIS_0066,0066,"Amebic skin ulceration"
DIAGNOSIS_0068,0068,"Amebic infection of other sites"
DIAGNOSIS_0069,0069,"Amebiasis\, unspecified"
DIAGNOSIS_0070,0070,"Balantidiasis"
DIAGNOSIS_0071,0071,"Giardiasis"
DIAGNOSIS_0072,0072,"Coccidiosis"
DIAGNOSIS_0073,0073,"Intestinal trichomoniasis"
DIAGNOSIS_0074,0074,"Cryptosporidiosis"
DIAGNOSIS_0075,0075,"Cyclosporiasis"
DIAGNOSIS_0078,0078,"Other specified protozoal intestinal diseases"
DIAGNOSIS_0079,0079,"Unspecified protozoal intestinal disease"
DIAGNOSIS_00800,00800,"Intestinal infection due to E. coli\, unspecified"
DIAGNOSIS_00801,00801,"Intestinal infection due to enteropathogenic E. coli"
DIAGNOSIS_00802,00802,"Intestinal infection due to enterotoxigenic E. coli"
DIAGNOSIS_00803,00803,"Intestinal infection due to enteroinvasive E. coli"
DIAGNOSIS_00804,00804,"Intestinal infection due to enterohemorrhagic E. coli"
DIAGNOSIS_00809,00809,"Intestinal infection due to other intestinal E. coli infections"
DIAGNOSIS_0081,0081,"Intestinal infection due to arizona group of paracolon bacilli"
DIAGNOSIS_0082,0082,"Intestinal infection due to aerobacter aerogenes"
DIAGNOSIS_0083,0083,"Intestinal infection due to proteus (mirabilis) (morganii)"
DIAGNOSIS_00841,00841,"Intestinal infection due to staphylococcus"
DIAGNOSIS_00842,00842,"Intestinal infection due to pseudomonas"
DIAGNOSIS_00843,00843,"Intestinal infection due to campylobacter"
DIAGNOSIS_00844,00844,"Intestinal infection due to yersinia enterocolitica"
DIAGNOSIS_00845,00845,"Intestinal infection due to Clostridium difficile"
DIAGNOSIS_00846,00846,"Intestinal infection due to other anaerobes"
DIAGNOSIS_00847,00847,"Intestinal infection due to other gram-negative bacteria"
DIAGNOSIS_00849,00849,"Intestinal infection due to other organisms"
DIAGNOSIS_0085,0085,"Bacterial enteritis\, unspecified"
DIAGNOSIS_00861,00861,"Enteritis due to rotavirus"
DIAGNOSIS_00862,00862,"Enteritis due to adenovirus"
DIAGNOSIS_00863,00863,"Enteritis due to norwalk virus"
DIAGNOSIS_00864,00864,"Enteritis due to other small round viruses [SRV's]"
DIAGNOSIS_00865,00865,"Enteritis due to calicivirus"
DIAGNOSIS_00866,00866,"Enteritis due to astrovirus"
DIAGNOSIS_00867,00867,"Enteritis due to enterovirus nec"
DIAGNOSIS_00869,00869,"Enteritis due to other viral enteritis"
DIAGNOSIS_0088,0088,"Intestinal infection due to other organism\, not elsewhere classified"
DIAGNOSIS_0090,0090,"Infectious colitis\, enteritis\, and gastroenteritis"
DIAGNOSIS_0091,0091,"Colitis\, enteritis\, and gastroenteritis of presumed infectious origin"
DIAGNOSIS_0092,0092,"Infectious diarrhea"
DIAGNOSIS_0093,0093,"Diarrhea of presumed infectious origin"
DIAGNOSIS_01000,01000,"Primary tuberculous infection\, unspecified"
DIAGNOSIS_01001,01001,"Primary tuberculous infection\, bacteriological or histological examination not done"
DIAGNOSIS_01002,01002,"Primary tuberculous infection\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01003,01003,"Primary tuberculous infection\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01004,01004,"Primary tuberculous infection\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01005,01005,"Primary tuberculous infection\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01006,01006,"Primary tuberculous infection\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01010,01010,"Tuberculous pleurisy in primary progressive tuberculosis\, unspecified"
DIAGNOSIS_01011,01011,"Tuberculous pleurisy in primary progressive tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01012,01012,"Tuberculous pleurisy in primary progressive tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01013,01013,"Tuberculous pleurisy in primary progressive tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01014,01014,"Tuberculous pleurisy in primary progressive tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01015,01015,"Tuberculous pleurisy in primary progressive tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01016,01016,"Tuberculous pleurisy in primary progressive tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01080,01080,"Other primary progressive tuberculosis\, unspecified"
DIAGNOSIS_01081,01081,"Other primary progressive tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01082,01082,"Other primary progressive tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01083,01083,"Other primary progressive tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01084,01084,"Other primary progressive tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01085,01085,"Other primary progressive tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01086,01086,"Other primary progressive tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01090,01090,"Primary tuberculous infection\, unspecified\, unspecified"
DIAGNOSIS_01091,01091,"Primary tuberculous infection\, unspecified\, bacteriological or histological examination not done"
DIAGNOSIS_01092,01092,"Primary tuberculous infection\, unspecified\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01093,01093,"Primary tuberculous infection\, unspecified\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01094,01094,"Primary tuberculous infection\, unspecified\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01095,01095,"Primary tuberculous infection\, unspecified\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01096,01096,"Primary tuberculous infection\, unspecified\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01100,01100,"Tuberculosis of lung\, infiltrative\, unspecified"
DIAGNOSIS_01101,01101,"Tuberculosis of lung\, infiltrative\, bacteriological or histological examination not done"
DIAGNOSIS_01102,01102,"Tuberculosis of lung\, infiltrative\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01103,01103,"Tuberculosis of lung\, infiltrative\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01104,01104,"Tuberculosis of lung\, infiltrative\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01105,01105,"Tuberculosis of lung\, infiltrative\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01106,01106,"Tuberculosis of lung\, infiltrative\, tubercle bacilli not found bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01110,01110,"Tuberculosis of lung\, nodular\, unspecified"
DIAGNOSIS_01111,01111,"Tuberculosis of lung\, nodular\, bacteriological or histological examination not done"
DIAGNOSIS_01112,01112,"Tuberculosis of lung\, nodular\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01113,01113,"Tuberculosis of lung\, nodular\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01114,01114,"Tuberculosis of lung\, nodular\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01115,01115,"Tuberculosis of lung\, nodular\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01116,01116,"Tuberculosis of lung\, nodular\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01120,01120,"Tuberculosis of lung with cavitation\, unspecified"
DIAGNOSIS_01121,01121,"Tuberculosis of lung with cavitation\, bacteriological or histological examination not done"
DIAGNOSIS_01122,01122,"Tuberculosis of lung with cavitation\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01123,01123,"Tuberculosis of lung with cavitation\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01124,01124,"Tuberculosis of lung with cavitation\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01125,01125,"Tuberculosis of lung with cavitation\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01126,01126,"Tuberculosis of lung with cavitation\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01130,01130,"Tuberculosis of bronchus\, unspecified"
DIAGNOSIS_01131,01131,"Tuberculosis of bronchus\, bacteriological or histological examination not done"
DIAGNOSIS_01132,01132,"Tuberculosis of bronchus\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01133,01133,"Tuberculosis of bronchus\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01134,01134,"Tuberculosis of bronchus\, tubercle bacilli not found (in sputum) by microscopy\, but found in bacterial culture"
DIAGNOSIS_01135,01135,"Tuberculosis of bronchus\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01136,01136,"Tuberculosis of bronchus\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01140,01140,"Tuberculous fibrosis of lung\, unspecified"
